symbol_key,open_time_ms,open,high,low,close,volume
USDT-FUTURES:ETHUSDT,1777098000000,2314.27,2314.28,2313.26,2313.81,1699.88
USDT-FUTURES:ETHUSDT,1777098300000,2313.81,2314.04,2313.81,2313.84,266.74
USDT-FUTURES:ETHUSDT,1777098600000,2313.84,2315.62,2313.83,2315.12,543.6
USDT-FUTURES:ETHUSDT,1777098900000,2315.12,2315.5,2314.14,2315.49,261.52
USDT-FUTURES:ETHUSDT,1777099200000,2315.49,2315.85,2314.9,2314.91,240.17
USDT-FUTURES:ETHUSDT,1777099500000,2314.91,2315.49,2314.0,2315.49,725.34
USDT-FUTURES:ETHUSDT,1777099800000,2315.49,2316.73,2315.0,2315.01,1963.09
USDT-FUTURES:ETHUSDT,1777100100000,2315.01,2315.82,2314.86,2314.86,175.91
USDT-FUTURES:ETHUSDT,1777100400000,2314.86,2314.86,2312.88,2313.35,699.35
USDT-FUTURES:ETHUSDT,1777100700000,2313.35,2313.71,2313.11,2313.11,257.29
USDT-FUTURES:ETHUSDT,1777101000000,2313.11,2313.81,2313.01,2313.48,112.08
USDT-FUTURES:ETHUSDT,1777101300000,2313.48,2314.4,2313.01,2314.4,333.0
USDT-FUTURES:ETHUSDT,1777101600000,2314.4,2314.94,2314.01,2314.84,537.32
USDT-FUTURES:ETHUSDT,1777101900000,2314.84,2315.0,2314.0,2314.99,836.37
USDT-FUTURES:ETHUSDT,1777102200000,2314.99,2315.86,2314.18,2315.7,233.4
USDT-FUTURES:ETHUSDT,1777102500000,2315.7,2316.14,2314.72,2315.41,267.02
USDT-FUTURES:ETHUSDT,1777102800000,2315.41,2315.64,2315.01,2315.44,211.04
USDT-FUTURES:ETHUSDT,1777103100000,2315.44,2315.55,2314.7,2315.24,93.5
USDT-FUTURES:ETHUSDT,1777103400000,2315.24,2315.36,2315.01,2315.36,144.4
USDT-FUTURES:ETHUSDT,1777103700000,2315.36,2317.87,2315.2,2315.2,1707.66
USDT-FUTURES:ETHUSDT,1777104000000,2315.2,2316.37,2314.63,2316.19,1038.64
USDT-FUTURES:ETHUSDT,1777104300000,2316.19,2317.44,2316.19,2317.35,862.63
USDT-FUTURES:ETHUSDT,1777104600000,2317.35,2317.35,2316.28,2316.65,391.08
USDT-FUTURES:ETHUSDT,1777104900000,2316.65,2317.43,2316.35,2316.36,754.0
USDT-FUTURES:ETHUSDT,1777105200000,2316.36,2317.5,2316.3,2316.89,118.97
USDT-FUTURES:ETHUSDT,1777105500000,2316.89,2317.83,2316.89,2317.43,1138.15
USDT-FUTURES:ETHUSDT,1777105800000,2317.43,2319.13,2317.42,2318.23,1323.66
USDT-FUTURES:ETHUSDT,1777106100000,2318.23,2319.68,2318.23,2319.0,669.25
USDT-FUTURES:ETHUSDT,1777106400000,2319.0,2319.8,2318.24,2318.41,346.55
USDT-FUTURES:ETHUSDT,1777106700000,2318.41,2318.46,2317.66,2317.75,377.69
USDT-FUTURES:ETHUSDT,1777107000000,2317.75,2318.25,2317.67,2318.2,218.05
USDT-FUTURES:ETHUSDT,1777107300000,2318.2,2318.49,2317.8,2318.39,891.56
USDT-FUTURES:ETHUSDT,1777107600000,2318.39,2318.78,2317.3,2317.49,400.61
USDT-FUTURES:ETHUSDT,1777107900000,2317.49,2318.0,2317.29,2317.99,189.98
USDT-FUTURES:ETHUSDT,1777108200000,2317.99,2318.4,2317.06,2318.4,366.37
USDT-FUTURES:ETHUSDT,1777108500000,2318.4,2318.99,2317.88,2317.88,1018.86
USDT-FUTURES:ETHUSDT,1777108800000,2317.88,2318.51,2315.7,2317.09,515.58
USDT-FUTURES:ETHUSDT,1777109100000,2317.09,2317.45,2316.0,2316.01,240.01
USDT-FUTURES:ETHUSDT,1777109400000,2316.01,2316.65,2316.0,2316.23,459.2
USDT-FUTURES:ETHUSDT,1777109700000,2316.23,2321.75,2316.23,2320.01,1948.45
USDT-FUTURES:ETHUSDT,1777110000000,2320.01,2320.61,2318.69,2320.53,1190.16
USDT-FUTURES:ETHUSDT,1777110300000,2320.53,2321.77,2319.97,2321.05,1106.39
USDT-FUTURES:ETHUSDT,1777110600000,2321.05,2321.97,2320.27,2321.97,804.48
USDT-FUTURES:ETHUSDT,1777110900000,2321.97,2322.11,2317.68,2317.88,1533.83
USDT-FUTURES:ETHUSDT,1777111200000,2317.88,2320.25,2317.45,2317.69,1386.92
USDT-FUTURES:ETHUSDT,1777111500000,2317.69,2318.69,2317.69,2317.99,1660.96
USDT-FUTURES:ETHUSDT,1777111800000,2317.99,2318.68,2317.81,2318.42,452.94
USDT-FUTURES:ETHUSDT,1777112100000,2318.42,2319.55,2318.42,2318.75,451.27
USDT-FUTURES:ETHUSDT,1777112400000,2318.75,2320.0,2318.45,2320.0,236.07
USDT-FUTURES:ETHUSDT,1777112700000,2320.0,2321.0,2319.4,2319.78,373.36
USDT-FUTURES:ETHUSDT,1777113000000,2319.78,2321.6,2319.78,2320.94,916.77
USDT-FUTURES:ETHUSDT,1777113300000,2320.94,2321.16,2319.87,2320.32,588.12
USDT-FUTURES:ETHUSDT,1777113600000,2320.32,2320.32,2318.55,2319.42,491.37
USDT-FUTURES:ETHUSDT,1777113900000,2319.42,2319.49,2318.22,2318.44,256.94
USDT-FUTURES:ETHUSDT,1777114200000,2318.44,2319.0,2318.33,2318.67,424.74
USDT-FUTURES:ETHUSDT,1777114500000,2318.67,2319.4,2318.0,2319.13,853.61
USDT-FUTURES:ETHUSDT,1777114800000,2319.13,2319.13,2317.56,2317.56,191.22
