symbol_key,open_time_ms,open,high,low,close,volume
USDT-FUTURES:BTCUSDT,1777098000000,77490.1,77490.1,77452.0,77452.1,21.7661
USDT-FUTURES:BTCUSDT,1777098300000,77452.1,77465.0,77449.4,77450.5,19.001
USDT-FUTURES:BTCUSDT,1777098600000,77450.5,77509.3,77450.5,77500.0,15.0807
USDT-FUTURES:BTCUSDT,1777098900000,77500.0,77514.3,77465.8,77514.3,6.2695
USDT-FUTURES:BTCUSDT,1777099200000,77514.3,77524.6,77477.6,77484.1,20.6158
USDT-FUTURES:BTCUSDT,1777099500000,77484.1,77511.0,77484.1,77508.2,39.9302
USDT-FUTURES:BTCUSDT,1777099800000,77508.2,77548.4,77492.6,77495.3,96.2548
USDT-FUTURES:BTCUSDT,1777100100000,77495.3,77506.0,77469.0,77469.0,14.7051
USDT-FUTURES:BTCUSDT,1777100400000,77469.0,77469.0,77416.0,77429.0,111.3121
USDT-FUTURES:BTCUSDT,1777100700000,77429.0,77449.1,77427.0,77427.0,27.3246
USDT-FUTURES:BTCUSDT,1777101000000,77427.0,77455.0,77427.0,77451.2,18.7279
USDT-FUTURES:BTCUSDT,1777101300000,77451.2,77473.0,77442.6,77473.0,5.2871
USDT-FUTURES:BTCUSDT,1777101600000,77473.0,77496.9,77460.9,77496.8,33.0476
USDT-FUTURES:BTCUSDT,1777101900000,77496.8,77507.4,77476.3,77507.4,55.1677
USDT-FUTURES:BTCUSDT,1777102200000,77507.4,77525.3,77476.3,77525.3,49.0793
USDT-FUTURES:BTCUSDT,1777102500000,77525.3,77535.3,77489.8,77520.6,28.7081
USDT-FUTURES:BTCUSDT,1777102800000,77520.6,77520.7,77490.4,77491.1,28.3429
USDT-FUTURES:BTCUSDT,1777103100000,77491.1,77491.1,77479.0,77487.0,26.2526
USDT-FUTURES:BTCUSDT,1777103400000,77487.0,77506.6,77487.0,77498.9,8.4976
USDT-FUTURES:BTCUSDT,1777103700000,77498.9,77521.1,77457.5,77457.6,78.1041
USDT-FUTURES:BTCUSDT,1777104000000,77457.6,77494.0,77446.1,77478.0,39.3544
USDT-FUTURES:BTCUSDT,1777104300000,77478.0,77532.3,77478.0,77532.2,28.8661
USDT-FUTURES:BTCUSDT,1777104600000,77532.2,77547.9,77520.0,77520.0,27.1096
USDT-FUTURES:BTCUSDT,1777104900000,77520.0,77529.3,77503.0,77503.0,9.7455
USDT-FUTURES:BTCUSDT,1777105200000,77503.0,77546.6,77503.0,77503.2,40.5041
USDT-FUTURES:BTCUSDT,1777105500000,77503.2,77538.7,77503.1,77532.1,26.627
USDT-FUTURES:BTCUSDT,1777105800000,77532.1,77615.5,77532.1,77610.0,135.7491
USDT-FUTURES:BTCUSDT,1777106100000,77610.0,77624.0,77600.1,77600.2,44.6038
USDT-FUTURES:BTCUSDT,1777106400000,77600.2,77615.0,77592.0,77599.9,100.9906
